Season,WBAN,YearMonthDay,Tmax,TmaxFlag,Tmin,TminFlag,Tavg,TavgFlag,Depart,DepartFlag,DewPoint,DewPointFlag,WetBulb,WetBulbFlag,Heat,HeatFlag,Cool,CoolFlag,Sunrise,SunriseFlag,Sunset,SunsetFlag,CodeSum,CodeSumFlag,Depth,DepthFlag,Water1,Water1Flag,SnowFall,SnowFallFlag,PrecipTotal,PrecipTotalFlag,StnPressure,StnPressureFlag,SeaLevel,SeaLevelFlag,ResultSpeed,ResultSpeedFlag,ResultDir,ResultDirFlag,AvgSpeed,AvgSpeedFlag,Max5Speed,Max5SpeedFlag,Max5Dir,Max5DirFlag,Max2Speed,Max2SpeedFlag,Max2Dir,Max2DirFlag
Last Winter,94239,20151223,29, ,26, ,28, ,1, ,23, ,26, ,37, ,0, ,746, ,1613, , , ,M, ,M, ,M, ,  T, ,28.2, ,29.53, ,1, ,9, ,2, ,11, ,130, ,8, ,90, 
Last Winter,94239,20151224,30, ,22, ,26, ,-1, ,22, ,25, ,39, ,0, ,746, ,1614, , , ,M, ,M, ,M, ,0, ,28.38, ,29.72, ,1, ,1, ,1.9, ,9, ,290, ,7, ,70, 
Last Winter,94239,20151225,28, ,19, ,24, ,-3, ,21, ,24, ,41, ,0, ,747, ,1614, ,BR, ,M, ,M, ,M, ,  T, ,28.9, ,30.26, ,2.8, ,35, ,3.1, ,9, ,280, ,8, ,320, 
Last Winter,94239,20151226,25, ,20, ,23, ,-4, ,20, ,22, ,42, ,0, ,747, ,1615, ,SN FG+ FZFG BR, ,M, ,M, ,M, ,  T, ,29.23, ,30.61, ,0.2, ,24, ,0.9, ,7, ,300, ,6, ,290, 
Last Winter,94239,20151227,26, ,23, ,25, ,-2, ,21, ,24, ,40, ,0, ,747, ,1616, ,SN BR, ,M, ,M, ,M, ,0.1, ,28.89, ,30.26, ,2.8, ,30, ,2.8, ,8, ,290, ,7, ,290, 
Last Winter,94239,20151228,29, ,22, ,26, ,-1, ,22, ,25, ,39, ,0, ,748, ,1616, ,SN BR, ,M, ,M, ,M, ,0.01, ,28.79, ,30.14, ,3.1, ,30, ,2.9, ,8, ,300, ,7, ,290, 
Last Winter,94239,20151229,29, ,24, ,27, ,0, ,23, ,26, ,38, ,0, ,748, ,1617, ,BR, ,M, ,M, ,M, ,0, ,28.87, ,30.22, ,0.4, ,36, ,0.7, ,7, ,90, ,6, ,90, 
Last Winter,94239,20151230,31, ,15, ,23, ,-4, ,19, ,23, ,42, ,0, ,748, ,1618, , , ,M, ,M, ,M, ,0, ,29.13, ,30.5, ,0.5, ,5, ,1.9, ,9, ,70, ,8, ,80, 
Last Winter,94239,20151231,25, ,9, ,17, ,-9, ,12, ,16, ,48, ,0, ,748, ,1619, , , ,M, ,M, ,M, ,0, ,29.39, ,30.79, ,1.2, ,34, ,1.4, ,7, ,360, ,6, ,320, 
Last Winter,94239,20160101,19, ,7, ,13, ,-14, ,10, ,14, ,52, ,0, ,748, ,1620, , , ,M, ,M, ,M, ,0, ,29.28, ,30.69, ,4.2, ,28, ,4.6, ,10, ,290, ,9, ,290, 
Last Winter,94239,20160103,21, ,14, ,18, ,-9, ,13, ,16, ,47, ,0, ,748, ,1622, ,SN BR HZ, ,M, ,M, ,M, ,0.21, ,28.84, ,30.2, ,4.5, ,29, ,4.9, ,13, ,310, ,12, ,310, 
Last Winter,94239,20160104,28, ,20, ,24, ,-3, ,22, ,24, ,41, ,0, ,748, ,1623, ,SN BR, ,M, ,M, ,M, ,0.1, ,28.54, ,29.9, ,3.8, ,30, ,4.1, ,M, ,M, ,6, ,280, 
Last Winter,94239,20160105,34, ,26, ,30, ,3, ,28, ,30, ,35, ,0, ,748, ,1624, ,SN FG BR, ,M, ,M, ,M, ,0.09, ,28.42, ,29.75, ,3.2, ,28, ,3.5, ,8, ,290, ,7, ,290, 
Last Winter,94239,20160106,36, ,33, ,35, ,8, ,32, ,33, ,30, ,0, ,747, ,1625, ,RA FG+ FG BR UP, ,M, ,M, ,M, ,0.04, ,28.45, ,29.78, ,3.6, ,29, ,3.9, ,11, ,300, ,10, ,300, 
Last Winter,94239,20160107,36, ,34, ,35, ,8, ,32, ,34, ,30, ,0, ,747, ,1626, ,FG+ BR, ,M, ,M, ,M, ,0, ,28.61, ,29.93, ,3.1, ,9, ,4.6, ,14, ,120, ,10, ,110, 
Last Winter,94239,20160108,36, ,34, ,35, ,8, ,32, ,34, ,30, ,0, ,747, ,1627, ,FG+ BR, ,M, ,M, ,M, ,0, ,28.77, ,30.11, ,4, ,10, ,4.1, ,11, ,120, ,9, ,110, 
Last Winter,94239,20160109,38, ,34, ,36, ,9, ,32, ,34, ,29, ,0, ,747, ,1628, ,RA FG+ FG BR, ,M, ,M, ,M, ,  T, ,28.87, ,30.21, ,0.3, ,8, ,0.9, ,7, ,90, ,6, ,90, 
Last Winter,94239,20160110,37, ,33, ,35, ,8, ,31, ,33, ,30, ,0, ,746, ,1630, ,FG BR, ,M, ,M, ,M, ,0, ,29.03, ,30.37, ,2.6, ,9, ,3.1, ,10, ,100, ,8, ,110, 
Last Winter,94239,20160111,34, ,32, ,33, ,6, ,29, ,31, ,32, ,0, ,746, ,1631, ,FZRA SN BR, ,M, ,M, ,M, ,0.04, ,28.98, ,30.34, ,3.7, ,11, ,3.9, ,10, ,100, ,8, ,100, 
Last Winter,94239,20160112,32, ,30, ,31, ,4, ,28, ,30, ,34, ,0, ,745, ,1632, ,SN FZFG BR, ,M, ,M, ,M, ,0.23, ,28.8, ,30.15, ,1.5, ,29, ,1.6, ,9, ,290, ,7, ,320, 
Last Winter,94239,20160113,42, ,30, ,36, ,9, ,29, ,32, ,29, ,0, ,745, ,1633, ,SN FZFG BR, ,M, ,M, ,M, ,  T, ,28.45, ,29.78, ,5.9, ,29, ,6.8, ,19, ,320, ,16, ,320, 
Last Winter,94239,20160114,42, ,26, ,34, ,6, ,26, ,31, ,31, ,0, ,744, ,1635, ,FG+ FZFG BR, ,M, ,M, ,M, ,0, ,28.61, ,29.94, ,1.2, ,28, ,3.6, ,12, ,300, ,9, ,290, 
Last Winter,94239,20160115,32, ,26, ,29, ,1, ,25, ,28, ,36, ,0, ,743, ,1636, ,SN BR, ,M, ,M, ,M, ,0, ,28.71, ,30.05, ,1.4, ,29, ,1.8, ,9, ,290, ,7, ,320, 
Last Winter,94239,20160116,34, ,26, ,30, ,2, ,28, ,29, ,35, ,0, ,743, ,1637, ,SN FG+ FZFG BR, ,M, ,M, ,M, ,0.21, ,28.64, ,29.98, ,1.2, ,30, ,2.3, ,9, ,160, ,8, ,190, 
Last Winter,94239,20160117,33, ,24, ,29, ,1, ,29, ,30, ,36, ,0, ,742, ,1639, ,SN FG+ FG FZFG BR, ,M, ,M, ,M, ,0.15, ,28.64, ,29.98, ,2.8, ,29, ,4, ,11, ,280, ,10, ,280, 
Last Winter,94239,20160118,33, ,23, ,28, ,0, ,27, ,29, ,37, ,0, ,741, ,1640, ,SN FG+ FZFG BR, ,M, ,M, ,M, ,  T, ,28.73, ,30.08, ,0.8, ,34, ,1.5, ,9, ,320, ,7, ,320, 
